dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'balanced'}",70,0.7017,0.7,0.7735,0.565,0.193,0.7104,0.7685,0.5678,0.1937
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}",70,0.7011,0.704,0.7633,0.5715,0.1956,0.6836,0.7635,0.5712,0.1951
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",70,0.7111,0.688,0.7669,0.5732,0.197,0.6896,0.7677,0.5725,0.1961
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'balanced'}",70,0.707,0.688,0.7639,0.5733,0.197,0.6896,0.7693,0.5747,0.1971
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'balanced'}",70,0.6804,0.668,0.7723,0.5753,0.1965,0.6776,0.7671,0.5827,0.1997
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",70,0.7064,0.676,0.762,0.5762,0.1988,0.6806,0.7677,0.58,0.1997
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'balanced'}",70,0.707,0.672,0.7626,0.5772,0.1995,0.6687,0.7679,0.5857,0.2022
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}",70,0.7081,0.672,0.7634,0.5781,0.1999,0.6687,0.7681,0.5872,0.2029
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}",70,0.7087,0.672,0.7642,0.5782,0.2001,0.6537,0.7679,0.5889,0.2036
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.7311,0.696,0.7723,0.5817,0.1988,0.6985,0.7671,0.5713,0.1942
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'balanced'}",70,0.6893,0.668,0.7523,0.5893,0.202,0.6925,0.7318,0.5965,0.2056
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.7282,0.696,0.7739,0.5921,0.2015,0.7015,0.769,0.5694,0.1931
