feature,coefficient,abs_coefficient,direction
playoff_win_pct_diff,1.1926867038639162,1.1926867038639162,helps_home_win
away_playoff_win_pct,-0.14305194019543122,0.14305194019543122,hurts_home_win
away_regular_three_pt_pct,0.026269639295247522,0.026269639295247522,helps_home_win
away_regular_ft_pct,-0.01758943938018632,0.01758943938018632,hurts_home_win
away_regular_opponent_turnover_percentage,0.007956486654129714,0.007956486654129714,helps_home_win
home_regular_opponent_turnover_percentage,0.004464402507948174,0.004464402507948174,helps_home_win
away_playoff_defensive_rating,0.0021801710694741693,0.0021801710694741693,helps_home_win
regular_assist_percentage_diff,8.913173845493457e-05,8.913173845493457e-05,helps_home_win
regular_offensive_rating_diff,0.0,0.0,hurts_home_win
away_regular_offensive_rating,0.0,0.0,hurts_home_win
away_regular_win_pct,0.0,0.0,hurts_home_win
home_regular_win_pct,0.0,0.0,hurts_home_win
home_regular_offensive_rating,0.0,0.0,hurts_home_win
regular_win_pct_diff,0.0,0.0,hurts_home_win
regular_pace_diff,0.0,0.0,hurts_home_win
home_regular_true_shooting_percentage,0.0,0.0,hurts_home_win
away_regular_true_shooting_percentage,0.0,0.0,hurts_home_win
home_regular_defensive_rating,0.0,0.0,hurts_home_win
away_regular_net_rating,0.0,0.0,hurts_home_win
away_regular_defensive_rating,0.0,0.0,hurts_home_win
regular_defensive_rating_diff,0.0,0.0,hurts_home_win
home_regular_net_rating,0.0,0.0,hurts_home_win
home_regular_three_pt_pct,0.0,0.0,hurts_home_win
regular_effective_field_goal_percentage_diff,0.0,0.0,hurts_home_win
away_regular_effective_field_goal_percentage,0.0,0.0,hurts_home_win
home_regular_ft_pct,0.0,0.0,hurts_home_win
away_regular_rebound_percentage,0.0,0.0,hurts_home_win
regular_rebound_percentage_diff,0.0,0.0,hurts_home_win
home_regular_offensive_rebound_percentage,0.0,0.0,hurts_home_win
home_regular_rebound_percentage,0.0,0.0,hurts_home_win
away_regular_offensive_rebound_percentage,0.0,0.0,hurts_home_win
regular_offensive_rebound_percentage_diff,0.0,0.0,hurts_home_win
away_regular_defensive_rebound_percentage,0.0,0.0,hurts_home_win
regular_true_shooting_percentage_diff,0.0,0.0,hurts_home_win
home_regular_effective_field_goal_percentage,0.0,0.0,hurts_home_win
regular_net_rating_diff,0.0,0.0,hurts_home_win
home_regular_pace,0.0,0.0,hurts_home_win
away_regular_pace,0.0,0.0,hurts_home_win
home_regular_assist_to_turnover_ratio,0.0,0.0,hurts_home_win
away_regular_assist_percentage,0.0,0.0,hurts_home_win
home_regular_assist_percentage,0.0,0.0,hurts_home_win
regular_defensive_rebound_percentage_diff,0.0,0.0,hurts_home_win
home_regular_defensive_rebound_percentage,0.0,0.0,hurts_home_win
regular_team_turnover_percentage_diff,0.0,0.0,hurts_home_win
away_regular_assist_to_turnover_ratio,0.0,0.0,hurts_home_win
regular_assist_to_turnover_ratio_diff,0.0,0.0,hurts_home_win
regular_opponent_effective_field_goal_percentage_diff,0.0,0.0,hurts_home_win
away_regular_opponent_effective_field_goal_percentage,0.0,0.0,hurts_home_win
regular_opponent_turnover_percentage_diff,0.0,0.0,hurts_home_win
home_made_playoffs,0.0,0.0,hurts_home_win
away_made_playoffs,0.0,0.0,hurts_home_win
home_regular_opponent_effective_field_goal_percentage,0.0,0.0,hurts_home_win
home_regular_team_turnover_percentage,0.0,0.0,hurts_home_win
away_regular_team_turnover_percentage,0.0,0.0,hurts_home_win
away_made_play_in,0.0,0.0,hurts_home_win
home_made_play_in,0.0,0.0,hurts_home_win
made_playoffs_diff,0.0,0.0,hurts_home_win
home_playoff_win_pct,0.0,0.0,hurts_home_win
home_playoff_net_rating,0.0,0.0,hurts_home_win
away_playoff_net_rating,0.0,0.0,hurts_home_win
playoff_net_rating_diff,0.0,0.0,hurts_home_win
made_play_in_diff,0.0,0.0,hurts_home_win
home_playoff_offensive_rating,0.0,0.0,hurts_home_win
away_playoff_offensive_rating,0.0,0.0,hurts_home_win
playoff_offensive_rating_diff,0.0,0.0,hurts_home_win
home_playoff_defensive_rating,0.0,0.0,hurts_home_win
playoff_defensive_rating_diff,0.0,0.0,hurts_home_win
home_playoff_true_shooting_percentage,0.0,0.0,hurts_home_win
away_playoff_true_shooting_percentage,0.0,0.0,hurts_home_win
playoff_true_shooting_percentage_diff,0.0,0.0,hurts_home_win
