dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6701,0.6343,0.6872,0.632,0.2208,0.6127,0.6509,0.6632,0.2336
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6687,0.6397,0.6861,0.6323,0.2209,0.6516,0.6965,0.6265,0.2184
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6703,0.6379,0.6864,0.6324,0.221,0.6139,0.6608,0.6515,0.2295
regular_season_only,regular_plus_playoff_context,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",70,0.7212,0.642,0.6849,0.6325,0.2211,0.6463,0.695,0.6327,0.2211
regular_season_only,regular_core_home_away_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",49,0.7213,0.6429,0.6837,0.6329,0.2212,0.6479,0.6941,0.6315,0.2206
regular_season_only,regular_all_home_away_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",196,0.7283,0.6373,0.6842,0.633,0.2213,0.6512,0.6987,0.6282,0.2191
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6703,0.6382,0.686,0.6334,0.2213,0.6137,0.6492,0.6636,0.2337
all_games,regular_plus_playoff_context,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",70,0.7173,0.6431,0.6846,0.6334,0.2215,0.649,0.6915,0.6321,0.2208
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6708,0.6395,0.6852,0.6336,0.2215,0.6121,0.6566,0.6536,0.2304
all_games,regular_core_home_away_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",49,0.7181,0.6379,0.6836,0.6338,0.2217,0.6465,0.691,0.6326,0.2211
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6687,0.6393,0.6843,0.634,0.2216,0.6484,0.6925,0.6287,0.2194
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6703,0.6334,0.6843,0.6344,0.2218,0.5906,0.6232,0.7233,0.2526
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",51,0.6586,0.6352,0.6849,0.6345,0.2219,0.6446,0.6954,0.6314,0.2206
all_games,regular_all_home_away_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",196,0.7248,0.6412,0.6829,0.6346,0.222,0.6482,0.6929,0.6301,0.22
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",51,0.6594,0.6367,0.6858,0.6349,0.222,0.6489,0.6977,0.6309,0.2204
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6662,0.6402,0.684,0.635,0.2219,0.6531,0.6988,0.627,0.2184
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6709,0.6343,0.6835,0.635,0.222,0.589,0.6219,0.729,0.254
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6706,0.6365,0.6837,0.6351,0.222,0.5908,0.6225,0.7221,0.2522
regular_season_only,percentile_core,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",51,0.7167,0.6405,0.684,0.6353,0.2223,0.6366,0.6949,0.6311,0.2206
