feature_set,penalty,solver,C,class_weight,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_all_home_away_diff,l1,liblinear,0.1,None,145,0.6971,0.6762,0.7317,0.6003,0.207,0.6818,0.7406,0.5925,0.2037
regular_all_home_away_diff,l2,lbfgs,0.01,None,145,0.6972,0.6779,0.7316,0.6004,0.207,0.6812,0.7399,0.5938,0.2042
regular_all_home_away_diff,l1,liblinear,1.0,None,145,0.6962,0.6793,0.7314,0.6005,0.207,0.6725,0.7376,0.5999,0.2067
regular_all_home_away_diff,l1,liblinear,10.0,None,145,0.6971,0.6784,0.7317,0.6007,0.2071,0.6612,0.7333,0.6123,0.2117
regular_all_home_away_diff,l2,lbfgs,100.0,None,145,0.697,0.679,0.7313,0.6008,0.2071,0.6668,0.7341,0.6081,0.21
regular_all_home_away_diff,l2,lbfgs,1.0,None,145,0.6969,0.679,0.7313,0.6008,0.2072,0.6672,0.7347,0.6072,0.2096
regular_all_home_away_diff,l2,lbfgs,0.1,None,145,0.697,0.6793,0.7312,0.6008,0.2072,0.6749,0.7377,0.6002,0.2068
regular_all_home_away_diff,l2,lbfgs,10.0,None,145,0.697,0.679,0.7313,0.6009,0.2072,0.666,0.7344,0.6081,0.21
regular_plus_playoff_context,l1,liblinear,0.01,None,67,0.6977,0.6707,0.7326,0.6011,0.2073,0.6829,0.7412,0.5951,0.2046
regular_all_home_away_diff,l1,liblinear,0.01,None,145,0.6971,0.6699,0.7318,0.6013,0.2074,0.6802,0.7409,0.595,0.2046
regular_core_home_away_diff,l1,liblinear,0.01,None,49,0.6974,0.6696,0.7318,0.6014,0.2075,0.6812,0.7407,0.5954,0.2048
regular_plus_playoff_context,l1,liblinear,0.1,None,67,0.6983,0.6707,0.7332,0.6014,0.2074,0.6812,0.7409,0.5962,0.2051
regular_core_home_away_diff,l1,liblinear,0.1,None,49,0.6969,0.6693,0.7324,0.6017,0.2076,0.6806,0.7404,0.5967,0.2053
regular_plus_playoff_context,l2,lbfgs,0.01,None,67,0.6983,0.6682,0.7332,0.6019,0.2076,0.6798,0.7406,0.5971,0.2054
regular_all_home_away_diff,l2,lbfgs,0.001,None,145,0.6951,0.6707,0.7302,0.6021,0.2077,0.6808,0.7388,0.595,0.2046
regular_plus_playoff_context,l1,liblinear,1.0,None,67,0.6982,0.6674,0.733,0.6022,0.2077,0.6781,0.7406,0.5971,0.2054
regular_core_home_away_diff,l2,lbfgs,0.01,None,49,0.6974,0.668,0.732,0.6024,0.2079,0.6808,0.7399,0.5975,0.2056
regular_plus_playoff_context,l2,lbfgs,0.1,None,67,0.698,0.6691,0.7329,0.6024,0.2078,0.6777,0.7406,0.5976,0.2056
regular_plus_playoff_context,l1,liblinear,10.0,None,67,0.6981,0.6699,0.7329,0.6024,0.2078,0.6779,0.7406,0.5973,0.2055
regular_core_home_away_diff,l1,liblinear,1.0,None,49,0.6979,0.6674,0.7323,0.6024,0.2079,0.6787,0.7401,0.5974,0.2056
regular_core_home_away_diff,l1,liblinear,10.0,None,49,0.6982,0.6682,0.7323,0.6025,0.2079,0.6772,0.7401,0.5975,0.2056
regular_plus_playoff_context,l2,lbfgs,0.001,None,67,0.6963,0.6693,0.7315,0.6027,0.2079,0.6829,0.7393,0.5979,0.2056
regular_plus_playoff_context,l2,lbfgs,100.0,None,67,0.6982,0.6696,0.7327,0.6027,0.2079,0.6775,0.7405,0.5978,0.2057
regular_plus_playoff_context,l2,lbfgs,10.0,None,67,0.6982,0.6696,0.7327,0.6027,0.2079,0.6775,0.7405,0.5978,0.2057
regular_core_home_away_diff,l2,lbfgs,0.1,None,49,0.698,0.6674,0.7322,0.6027,0.208,0.6787,0.7401,0.5979,0.2057
regular_plus_playoff_context,l2,lbfgs,1.0,None,67,0.6979,0.6696,0.7328,0.6027,0.2079,0.6775,0.7405,0.5977,0.2057
regular_core_home_away_diff,l2,lbfgs,100.0,None,49,0.698,0.6685,0.7322,0.6028,0.208,0.677,0.7401,0.598,0.2058
regular_core_home_away_diff,l2,lbfgs,10.0,None,49,0.698,0.6685,0.7322,0.6028,0.208,0.677,0.7401,0.598,0.2058
regular_core_home_away_diff,l2,lbfgs,1.0,None,49,0.698,0.6685,0.7322,0.6028,0.208,0.677,0.7401,0.5979,0.2058
era_adjusted_core,l1,liblinear,0.01,None,66,0.6973,0.6646,0.7318,0.6029,0.2082,0.6795,0.7409,0.5966,0.2052
regular_core_diff_only,l1,liblinear,0.01,None,15,0.697,0.6652,0.7311,0.6032,0.2083,0.6796,0.7408,0.5967,0.2053
regular_core_home_away_diff,l2,lbfgs,0.001,None,49,0.6961,0.6674,0.7296,0.6035,0.2083,0.6798,0.7381,0.5983,0.2059
regular_core_diff_only,l1,liblinear,0.001,None,15,0.6963,0.6721,0.7311,0.6038,0.2082,0.6827,0.7407,0.5965,0.2051
regular_all_home_away_diff,l1,liblinear,0.001,None,145,0.6963,0.6721,0.7311,0.6038,0.2082,0.6827,0.7407,0.5965,0.2051
regular_plus_playoff_context,l1,liblinear,0.001,None,67,0.6963,0.6721,0.7311,0.6038,0.2082,0.6827,0.7407,0.5965,0.2051
