feature,coefficient,abs_coefficient,direction
regular_win_pct_diff,0.967755261627703,0.967755261627703,helps_home_win
away_regular_effective_field_goal_percentage,-0.10257665894119818,0.10257665894119818,hurts_home_win
home_regular_fg_pct,0.06564869589667735,0.06564869589667735,helps_home_win
away_regular_three_pt_pct,0.04818300699164451,0.04818300699164451,helps_home_win
home_regular_true_shooting_percentage,-0.045221073729003684,0.045221073729003684,hurts_home_win
home_regular_second_chance_points_per_game,-0.04363802241485012,0.04363802241485012,hurts_home_win
home_regular_points_in_paint_per_game,0.040257409455774766,0.040257409455774766,helps_home_win
home_regular_pace_z,0.036376007222769964,0.036376007222769964,helps_home_win
home_regular_offensive_rebound_percentage_z,0.03363200681401145,0.03363200681401145,helps_home_win
home_regular_offensive_rebounds_per_game,0.02975518274608863,0.02975518274608863,helps_home_win
away_regular_rebounds_per_game,-0.02671152677518689,0.02671152677518689,hurts_home_win
regular_opponent_points_per_game_diff,-0.02499090200181059,0.02499090200181059,hurts_home_win
home_regular_offensive_rating_z,0.024112111163053774,0.024112111163053774,helps_home_win
away_regular_fg_pct,0.0232759962293677,0.0232759962293677,helps_home_win
away_regular_opponent_free_throw_attempt_rate,0.023028048901153543,0.023028048901153543,helps_home_win
home_regular_ft_pct,0.021200701653459855,0.021200701653459855,helps_home_win
home_regular_steals_per_game,0.021112154617230223,0.021112154617230223,helps_home_win
home_regular_opponent_effective_field_goal_percentage,-0.020978003803441093,0.020978003803441093,hurts_home_win
away_regular_pace_z,0.019200820070676927,0.019200820070676927,helps_home_win
away_regular_blocks_per_game,0.01912451001812195,0.01912451001812195,helps_home_win
regular_three_pt_pct_z_diff,0.019031860850894967,0.019031860850894967,helps_home_win
home_regular_bench_points_per_game,-0.016699539479745975,0.016699539479745975,hurts_home_win
home_regular_points_off_turnovers_per_game,-0.016413737378240065,0.016413737378240065,hurts_home_win
home_regular_win_pct,0.015677169653767746,0.015677169653767746,helps_home_win
away_regular_offensive_rebound_percentage_z,0.014794134165153343,0.014794134165153343,helps_home_win
